,tripduration,start_station_id,end_station_id,usertype,birth_year,gender,Hour,Month,Day of Week
0,31.566666666666666,3159,3165,1,1946,0,9,4,5
1,12.35,3224,312,1,1999,0,18,9,0
2,22.033333333333335,387,3440,1,1996,0,17,3,5
3,4.05,387,308,1,1939,2,20,2,3
4,5.133333333333334,2010,3435,1,1947,1,14,1,6
5,8.083333333333334,307,302,1,1951,0,14,4,1
6,34.21666666666667,528,3292,1,1996,0,13,9,5
7,24.633333333333333,491,411,1,1998,0,17,10,2
8,4.8,3263,253,1,1998,1,12,11,1
9,15.35,228,446,1,1996,1,17,4,1
10,4.416666666666667,291,82,1,1940,1,10,4,1
11,7.133333333333334,3346,3414,1,1952,1,16,4,5
12,8.816666666666666,3161,3359,1,1998,0,13,9,3
13,8.85,466,536,1,1944,0,16,5,1
14,22.216666666666665,3295,479,1,1950,0,22,11,2
15,15.266666666666667,3466,253,1,1998,1,14,5,1
16,8.1,3383,3400,0,1997,0,20,4,3
17,32.3,382,3341,1,1999,0,1,6,6
18,14.3,379,516,1,1951,0,9,9,0
19,23.616666666666667,305,508,1,1950,0,11,5,2
20,16.116666666666667,3151,524,1,1996,0,7,5,3
21,18.066666666666666,426,3260,1,1949,0,14,11,4
22,5.4,3263,312,1,1997,0,22,10,1
23,8.65,3323,3539,1,1996,0,8,10,1
24,9.216666666666667,368,346,1,1953,0,13,10,0
25,6.566666666666666,3147,3372,1,1954,1,13,3,6
26,7.066666666666666,3147,3294,1,1954,1,18,8,4
27,7.466666666666667,280,394,1,1955,0,14,5,6
28,6.216666666666667,3172,3158,1,1955,1,17,5,3
29,18.066666666666666,3224,3427,1,1955,0,14,12,6
30,16.916666666666668,380,2008,1,1956,0,17,2,2
31,18.283333333333335,518,265,1,1956,0,12,4,4
32,9.483333333333333,236,342,1,1956,0,19,7,6
33,17.216666666666665,523,3167,1,1956,0,9,7,3
34,28.466666666666665,3137,3170,1,1956,0,6,10,5
35,6.083333333333333,3458,3680,1,1956,0,8,5,0
36,3.8666666666666667,315,259,1,1957,0,11,5,5
37,7.0,265,296,1,1957,1,17,4,6
38,7.416666666666667,330,3002,1,1957,1,15,4,6
39,27.183333333333334,307,267,1,1957,0,5,11,1
40,7.9,402,380,1,1957,1,19,11,2
41,17.316666666666666,3132,3128,1,1957,0,9,5,2
42,5.483333333333333,3077,3080,0,1957,0,22,12,5
43,30.15,3343,3233,1,1957,1,6,7,3
44,9.583333333333334,447,530,1,1958,0,21,4,0
45,3.2,3165,3172,1,1958,0,21,5,0
46,12.483333333333333,237,2009,1,1958,0,22,1,5
47,5.866666666666666,515,422,1,1958,2,16,5,2
48,9.25,514,462,1,1958,0,23,2,6
49,10.95,3360,3350,1,1958,0,17,12,2
50,5.983333333333333,161,438,1,1958,0,23,5,5
51,24.766666666666666,3674,3317,1,1959,1,17,5,0
52,26.2,516,3167,1,1959,0,18,2,3
53,4.683333333333334,478,495,1,1959,0,18,3,0
54,8.633333333333333,402,487,1,1959,0,17,1,1
55,7.55,303,361,1,1959,0,16,11,6
56,3.55,3158,457,1,1960,0,13,3,3
57,10.883333333333333,3236,509,1,1960,1,13,7,3
58,6.35,321,3402,1,1960,0,16,9,5
59,3.816666666666667,435,509,1,1960,0,12,4,2
60,7.75,3052,3042,1,1960,1,7,11,2
61,13.416666666666666,345,504,1,1961,0,17,8,4
62,17.566666666666666,3295,468,1,1961,1,12,5,2
63,8.433333333333334,3255,508,1,1961,0,10,5,4
64,4.366666666666666,432,411,1,1961,0,17,10,1
65,10.816666666666666,359,3134,1,1962,0,8,4,3
66,6.35,3258,442,1,1962,0,15,9,6
67,31.366666666666667,3409,401,1,1962,1,21,12,2
68,4.816666666666666,319,363,1,1962,0,12,11,4
69,4.816666666666666,314,323,1,1962,0,13,3,1
70,4.2,3447,3155,1,1962,0,19,5,4
71,24.783333333333335,259,3263,1,1962,0,11,9,0
72,13.233333333333333,253,251,1,1963,0,18,10,2
73,15.133333333333333,3163,3144,1,1963,0,7,5,4
74,3.933333333333333,3165,3137,1,1963,0,11,5,2
75,17.466666666666665,3350,281,1,1963,0,7,1,4
76,7.95,497,498,1,1963,0,17,9,2
77,22.883333333333333,3158,3256,1,1963,1,9,8,6
78,7.85,511,345,1,1964,0,8,4,3
79,15.516666666666667,3169,500,1,1964,0,8,11,3
80,22.266666666666666,363,453,1,1964,0,15,5,0
81,11.5,369,531,1,1964,0,13,5,4
82,7.766666666666667,499,3161,1,1964,0,11,9,3
83,23.466666666666665,3374,3375,1,1964,1,13,11,4
84,9.283333333333333,326,161,1,1964,0,22,11,1
85,19.766666666666666,519,3224,1,1964,0,13,7,3
86,26.3,3295,505,1,1965,0,15,2,1
87,45.916666666666664,525,304,1,1965,1,10,6,0
88,10.166666666666666,3090,3108,1,1965,0,19,9,1
89,7.5,3146,3379,1,1965,0,10,8,1
90,49.11666666666667,3139,3162,1,1965,0,13,11,4
91,4.9,403,161,1,1965,0,9,5,3
92,24.233333333333334,242,471,1,1966,1,15,10,5
93,43.43333333333333,3168,3168,0,1966,1,11,10,5
94,9.3,478,465,1,1966,0,16,7,2
95,20.633333333333333,3002,332,1,1966,1,16,7,4
96,16.3,3369,3134,1,1966,0,14,2,5
97,6.85,3355,359,1,1966,0,7,6,3
98,15.1,266,455,1,1967,1,8,5,1
99,10.216666666666667,3142,3143,1,1967,0,9,1,5
100,10.45,524,518,1,1967,0,17,6,4
101,12.733333333333333,3172,3458,1,1967,1,17,3,2
102,6.1,465,3643,1,1967,0,8,4,4
103,26.183333333333334,167,3122,1,1967,0,17,8,3
104,16.383333333333333,3178,305,1,1967,0,7,10,1
105,8.05,3314,3170,1,1967,1,17,3,4
106,7.35,3509,3493,1,1967,0,19,9,4
107,8.916666666666666,212,128,1,1967,0,8,5,2
108,12.433333333333334,3466,517,0,1968,0,9,9,4
109,21.866666666666667,379,522,1,1968,0,7,4,3
110,4.716666666666667,3172,3159,1,1968,1,14,7,3
111,7.016666666666667,3435,2010,1,1968,0,10,10,4
112,5.016666666666667,3172,3158,1,1968,1,15,4,4
113,11.983333333333333,3458,3259,1,1968,0,13,11,6
114,18.616666666666667,3390,3238,1,1968,0,11,8,1
115,11.666666666666666,247,311,1,1968,0,5,5,2
116,7.8,440,2012,1,1969,0,8,8,2
117,7.766666666666667,359,450,1,1969,0,7,8,1
118,9.75,3256,212,1,1969,0,16,7,4
119,41.36666666666667,492,3164,0,1969,2,14,4,5
120,16.916666666666668,426,369,0,1969,2,15,3,0
121,23.116666666666667,3304,392,0,1969,2,9,3,1
122,12.933333333333334,2022,3157,0,1969,2,18,5,4
123,13.683333333333334,3120,3120,0,1969,2,15,4,6
124,3.5,435,470,1,1969,0,13,4,4
125,3.216666666666667,243,241,1,1969,0,18,4,2
126,28.7,3674,387,0,1969,2,12,5,5
127,11.766666666666667,3321,3324,0,1969,2,17,5,4
128,35.28333333333333,335,478,0,1969,2,11,2,1
129,11.683333333333334,274,399,1,1969,0,22,5,4
130,29.233333333333334,3223,3177,0,1969,2,15,5,6
131,52.68333333333333,3322,3322,1,1969,1,7,12,6
132,47.7,3437,3623,0,1969,2,11,2,2
133,14.85,3447,465,1,1969,0,9,8,3
134,14.733333333333333,445,308,1,1969,0,8,3,0
135,26.083333333333332,327,3260,0,1969,2,13,1,0
136,11.516666666666667,533,536,0,1969,2,11,2,1
137,15.316666666666666,3373,420,1,1969,2,15,3,6
138,10.266666666666667,3589,3130,1,1969,2,7,5,2
139,3.7333333333333334,439,401,1,1970,0,8,12,5
140,24.266666666666666,3158,3259,1,1970,1,10,8,3
141,6.7,3263,393,1,1970,0,23,12,5
142,20.25,524,520,1,1970,0,15,5,5
143,9.283333333333333,526,507,1,1970,1,18,9,1
144,10.95,435,2021,1,1970,0,9,5,1
145,14.066666666666666,417,346,1,1970,0,18,4,1
146,4.966666666666667,524,281,1,1970,0,8,8,2
147,40.11666666666667,3162,377,1,1970,1,8,11,4
148,10.4,3115,3221,1,1970,0,14,4,4
149,12.1,440,3458,1,1971,1,16,5,2
150,10.883333333333333,401,337,1,1971,0,8,12,2
151,12.283333333333333,517,496,1,1971,0,11,5,2
152,9.3,3410,3339,1,1971,1,18,10,3
153,8.45,3349,3414,1,1971,0,11,4,0
154,6.45,519,498,1,1971,0,16,3,0
